,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S
0,1.0,0.0,1.0,0.0,0.0,0.13185364245687287,1.0,0.0,1.0
1,0.0,1.0,0.9246041719024881,0.0,0.0,0.034172069003406226,1.0,0.0,1.0
2,0.0,0.0,0.8869062578537321,0.0,0.0,0.15230941654763216,1.0,0.0,0.0
3,0.0,0.0,0.8869062578537321,0.0,0.0,0.2175769695637842,1.0,0.0,0.0
4,0.0,1.0,0.8806232721789394,0.0,0.0,0.03406219096802549,1.0,1.0,0.0
5,0.0,0.0,0.8743402865041467,0.125,0.16666666666666666,0.31205362048126584,1.0,0.0,1.0
6,0.0,0.5,0.8743402865041467,0.0,0.0,0.04614877485990551,1.0,0.0,1.0
7,0.0,0.5,0.8240764011058055,0.0,0.0,0.04614877485990551,1.0,0.0,1.0
8,0.0,0.0,0.8115104297562202,0.0,0.16666666666666666,0.2724061092187672,1.0,0.0,0.0
9,0.0,0.0,0.8115104297562202,0.0,0.0,0.1166904735743325,1.0,0.0,1.0
10,0.0,1.0,0.8115104297562202,0.0,0.0,0.03406219096802549,1.0,1.0,0.0
11,0.0,0.0,0.7989444584066349,0.0,0.0,0.1142731567959565,1.0,0.0,1.0
12,1.0,1.0,0.7863784870570495,0.0,0.0,0.042138226568508956,0.0,0.0,1.0
13,1.0,0.0,0.7863784870570495,0.125,0.0,0.3426361938248544,0.0,0.0,1.0
14,1.0,0.0,0.7738125157074642,0.0,0.0,0.3516097132183277,0.0,0.0,0.0
15,0.0,0.0,0.7738125157074642,0.0,0.0,0.1166904735743325,1.0,0.0,1.0
16,0.0,0.0,0.7738125157074642,0.0,0.0,0.1166904735743325,1.0,0.0,1.0
17,1.0,0.5,0.7738125157074642,0.0,0.0,0.04614877485990551,1.0,0.0,1.0
18,0.0,0.0,0.7612465443578789,0.0,0.0,0.14205384023733655,1.0,0.0,1.0
19,0.0,1.0,0.7612465443578789,0.0,0.0,0.027414569827491485,1.0,0.0,1.0
20,0.0,0.0,0.7612465443578789,0.0,0.0,0.1472365674101747,1.0,0.0,1.0
21,0.0,0.5,0.7486805730082936,0.125,0.16666666666666666,0.17140973519393474,1.0,0.0,1.0
